AREA,PERIMETER,HISTLU_CPE,HISTLU_C_1,POT_LU,LU1885,LU1912,LU1945,LU1977,LU2004,DIST
722769.875000000000000,4583.172999999999774,622.000000000000000,0.000000000000000,Grassland,Grassland,Irrigated,Irrigated,Irrigated,Irrigated,4.000000000000000
178164.094000000011874,2172.512999999999920,623.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Grassland,2.000000000000000
329110.968999999982771,2498.534999999999854,624.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Irrigated,3.000000000000000
237753.905999999988126,2282.762000000000171,625.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Irrigated,1.000000000000000
743029.125000000000000,6554.443000000000211,626.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Grassland,Irrigated,2.000000000000000
195617.875000000000000,4009.827999999999975,627.000000000000000,0.000000000000000,Wetlands,Wetlands,Irrigated,Irrigated,Irrigated,Wetlands,3.000000000000000
383975.468999999982771,2727.626999999999953,628.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Irrigated,2.000000000000000
100960000.000000000000000,195046.655999999988126,629.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Irrigated,3.000000000000000
150400.733999999996740,1736.397999999999911,630.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Urban,3.000000000000000
192090.733999999996740,1691.106999999999971,631.000000000000000,0.000000000000000,Wetlands,Wetlands,Irrigated,Irrigated,Wetlands,Wetlands,2.000000000000000
729861.687999999965541,4023.175000000000182,632.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Irrigated,3.000000000000000
159621.828000000008615,1919.576999999999998,633.000000000000000,0.000000000000000,Wetlands,Wetlands,Irrigated,Irrigated,Irrigated,Irrigated,4.000000000000000
516551.313000000023749,3406.494999999999891,634.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Grassland,Grassland,1.000000000000000
100190.820000000006985,1878.005000000000109,635.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Grassland,1.000000000000000
482405.375000000000000,4420.211000000000240,636.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Urban,Grassland,1.000000000000000
328653.688000000023749,18745.143000000000029,637.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Urban,3.000000000000000
205313.219000000011874,3543.373000000000047,638.000000000000000,0.000000000000000,Wetlands,Wetlands,Wetlands,Irrigated,Irrigated,Wetlands,2.000000000000000
331164.563000000023749,3088.090999999999894,639.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Irrigated,1.000000000000000
116907.187999999994645,1927.112000000000080,640.000000000000000,0.000000000000000,Grassland,Grassland,Irrigated,Irrigated,Irrigated,Irrigated,4.000000000000000
118918.375000000000000,1454.582000000000107,641.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Grassland,2.000000000000000
27151486.000000000000000,64270.796999999998661,642.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Grassland,Grassland,1.000000000000000
1642216.500000000000000,6304.516999999999825,643.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Irrigated,3.000000000000000
146235.844000000011874,1659.919000000000096,644.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Grassland,1.000000000000000
102136.750000000000000,2634.751999999999953,645.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Urban,3.000000000000000
279569.313000000023749,2661.333999999999833,646.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Grassland,2.000000000000000
256159.780999999988126,2603.887000000000171,647.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Irrigated,3.000000000000000
836698.875000000000000,5234.168999999999869,648.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Grassland,2.000000000000000
180152.483999999996740,3197.773000000000138,649.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Grassland,Grassland,1.000000000000000
723786.937999999965541,5565.177999999999884,650.000000000000000,0.000000000000000,Valley oak,Valley oak,Valley oak,Valley oak,Valley oak,Valley oak,0.000000000000000
270092.813000000023749,2757.161999999999807,651.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Urban,Grassland,1.000000000000000
195832.655999999988126,2605.246000000000095,652.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Grassland,Grassland,1.000000000000000
10071095.000000000000000,36527.847999999998137,653.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Grassland,Grassland,1.000000000000000
521569.563000000023749,4896.747000000000298,654.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Urban,1.000000000000000
114181.202999999994063,1748.512999999999920,655.000000000000000,0.000000000000000,Wetlands,Wetlands,Irrigated,Irrigated,Irrigated,Irrigated,4.000000000000000
296060.250000000000000,3500.989999999999782,656.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Grassland,Irrigated,2.000000000000000
306484.093999999982771,3436.067000000000007,657.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Grassland,Irrigated,2.000000000000000
1603987.500000000000000,5723.029999999999745,658.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Irrigated,1.000000000000000
254673.530999999988126,2691.215999999999894,659.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Urban,3.000000000000000
1720603.875000000000000,12589.388000000000829,660.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Irrigated,3.000000000000000
322488.188000000023749,2403.635999999999967,661.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Grassland,0.000000000000000
452783.031000000017229,3068.679000000000087,662.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Grassland,2.000000000000000
9433482.000000000000000,44616.332000000002154,663.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Urban,3.000000000000000
345692.000000000000000,4833.286000000000058,664.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Irrigated,3.000000000000000
