AREA,LU1885,LU1945,POT_LU,Shape__Area,Shape__Length
163891.530999999988126,Grassland,Irrigated,Grassland,263392.175781250000000,2701.939231660631322
944063.375000000000000,Grassland,Grassland,Grassland,1517285.386718750000000,5892.902119789500830
117509.429999999993015,Grassland,Grassland,Grassland,188823.601562500000000,8246.039038364668158
121965.304999999993015,Grassland,Grassland,Grassland,196025.632812500000000,3856.741569554917987
3709909.250000000000000,Grassland,Irrigated,Grassland,5958989.445312500000000,15159.814552580326563
740064.500000000000000,Grassland,Irrigated,Grassland,1189015.828125000000000,6055.516530113260160
190917.796999999991385,Grassland,Grassland,Grassland,306851.679687500000000,2255.172663611598637
307844.593999999982771,Grassland,Grassland,Grassland,494751.761718750000000,3065.314566912914415
1237066.000000000000000,Grassland,Grassland,Grassland,1987879.582031250000000,9464.220760494439673
908474.625000000000000,Grassland,Grassland,Grassland,1459798.058593750000000,10253.334495695133228
125235.648000000001048,Grassland,Irrigated,Grassland,201265.832031250000000,1827.267139916780707
1535666.125000000000000,Grassland,Irrigated,Grassland,2467173.308593750000000,12344.917558967727018
125459.577999999994063,Grassland,Grassland,Grassland,201642.183593750000000,1761.984352089817094
114678.414000000004307,Grassland,Irrigated,Grassland,184285.488281250000000,1857.236854581389252
3839511.000000000000000,Wetlands,Irrigated,Wetlands,6167423.316406250000000,11070.973701418344717
307940.563000000023749,Grassland,Grassland,Grassland,494870.800781250000000,2957.047329291261121
138601.141000000003260,Grassland,Irrigated,Grassland,222660.765625000000000,4432.001468485008445
130789.422000000005937,Grassland,Irrigated,Grassland,210167.246093750000000,2386.452418788866908
580973.562999999965541,Grassland,Irrigated,Grassland,933483.035156250000000,4663.153820536218518
552913.625000000000000,Grassland,Irrigated,Grassland,888459.167968750000000,5117.216186906852272
182546.953000000008615,Wetlands,Irrigated,Wetlands,293300.398437500000000,2338.154926870289273
1039367.000000000000000,Grassland,Irrigated,Grassland,1669318.542968750000000,10183.729104879312217
222635.546999999991385,Grassland,Irrigated,Grassland,357631.566406250000000,5045.465329006256070
248998.766000000003260,Grassland,Irrigated,Grassland,400011.992187500000000,7826.681263956505063
138389.921999999991385,Grassland,Grassland,Grassland,222378.902343750000000,3627.452835584825607
722769.875000000000000,Grassland,Irrigated,Grassland,1161286.519531250000000,5808.327686631622782
178164.094000000011874,Grassland,Irrigated,Grassland,286267.378906250000000,2754.784517392254656
329110.968999999982771,Grassland,Irrigated,Grassland,528730.105468750000000,3166.793171531555345
237753.905999999988126,Grassland,Grassland,Grassland,382047.593750000000000,2893.681530354040660
743029.125000000000000,Grassland,Irrigated,Grassland,1193472.941406250000000,8307.693141681324050
195617.875000000000000,Wetlands,Irrigated,Wetlands,314262.476562500000000,5082.939706809251220
383975.468999999982771,Grassland,Grassland,Grassland,616961.097656250000000,3457.846640082877911
100960000.000000000000000,Grassland,Irrigated,Grassland,162041869.281250000000000,247082.009102193493163
150400.733999999996740,Grassland,Irrigated,Grassland,241607.867187500000000,2200.626716370355098
192090.733999999996740,Wetlands,Irrigated,Wetlands,308584.011718750000000,2143.534288200182345
729861.687999999965541,Grassland,Irrigated,Grassland,1172423.156250000000000,5099.759416380608855
159621.828000000008615,Wetlands,Irrigated,Wetlands,256430.046875000000000,2433.355539202084856
516551.313000000023749,Grassland,Irrigated,Grassland,829704.261718750000000,4317.485492056119256
100190.820000000006985,Grassland,Grassland,Grassland,160967.972656250000000,2380.462885008422290
482405.375000000000000,Grassland,Grassland,Grassland,774976.882812500000000,5603.135697035451813
328653.688000000023749,Grassland,Irrigated,Grassland,527590.753906250000000,23748.816751717589796
205313.219000000011874,Wetlands,Irrigated,Wetlands,329778.128906250000000,4490.597993136599143
331164.563000000023749,Grassland,Grassland,Grassland,531983.156250000000000,3913.607211993439250
116907.187999999994645,Grassland,Irrigated,Grassland,187774.664062500000000,2443.058788354690478
118918.375000000000000,Grassland,Irrigated,Grassland,191023.546875000000000,1843.609977767025157
27151486.000000000000000,Grassland,Irrigated,Grassland,43578970.960937500000000,81419.150920550673618
1642216.500000000000000,Grassland,Irrigated,Grassland,2636964.906250000000000,7988.670347675839366
146235.844000000011874,Grassland,Grassland,Grassland,234840.011718750000000,2103.758423993900578
102136.750000000000000,Grassland,Irrigated,Grassland,164011.390625000000000,3339.318152210574681
279569.313000000023749,Grassland,Irrigated,Grassland,448959.886718750000000,3372.933836511929258
256159.780999999988126,Grassland,Irrigated,Grassland,411428.058593750000000,3300.869405470567926
836698.875000000000000,Grassland,Irrigated,Grassland,1343717.121093750000000,6633.940864061206412
180152.483999999996740,Grassland,Irrigated,Grassland,289357.085937500000000,4053.804752492743319
723786.937999999965541,Valley oak,Valley oak,Valley oak,1161989.957031250000000,7051.628732480739927
270092.813000000023749,Grassland,Grassland,Grassland,433813.003906250000000,3493.899188585031425
195832.655999999988126,Grassland,Irrigated,Grassland,314541.632812500000000,3301.833497407599680
10071095.000000000000000,Grassland,Irrigated,Grassland,16157574.746093750000000,46269.230781112688419
521569.563000000023749,Grassland,Grassland,Grassland,837444.136718750000000,6204.574915102434716
114181.202999999994063,Wetlands,Irrigated,Wetlands,183363.195312500000000,2215.996892595392183
296060.250000000000000,Grassland,Irrigated,Grassland,475497.324218750000000,4436.854344743926958
306484.093999999982771,Grassland,Irrigated,Grassland,492234.050781250000000,4354.780023157954929
1603987.500000000000000,Grassland,Grassland,Grassland,2575879.617187500000000,7252.613381445971754
254673.530999999988126,Grassland,Irrigated,Grassland,408974.003906250000000,3410.236838206015818
1720603.875000000000000,Grassland,Irrigated,Grassland,2762906.238281250000000,15951.396219587582891
322488.188000000023749,Grassland,Grassland,Grassland,517892.937500000000000,3045.463008229824027
452783.031000000017229,Grassland,Irrigated,Grassland,726976.250000000000000,3888.348884198149335
9433482.000000000000000,Grassland,Irrigated,Grassland,15135618.234375000000000,56517.004126417945372
345692.000000000000000,Grassland,Irrigated,Grassland,555030.203125000000000,6124.598421894613239
1195974.500000000000000,Grassland,Irrigated,Grassland,1920082.144531250000000,8840.325478350789126
539981.187999999965541,Grassland,Irrigated,Grassland,867026.539062500000000,3975.534900434700376
968066.187999999965541,Grassland,Irrigated,Grassland,1554435.515625000000000,9941.277592434133112
185431.921999999991385,Grassland,Irrigated,Grassland,297774.078125000000000,2453.792249021532825
341282.250000000000000,Valley oak,Valley oak,Valley oak,547830.371093750000000,4864.674851331523314
